date,code,open,close,high,low,vol,amount,up_count,down_count,date_stamp,volume
2007-01-04,000300,2073.25,2067.09,2139.49,2054.24,1067197.0,82381070336.0,0,0,1167840000.0,1067197.0
2007-01-05,000300,2051.15,2072.88,2083.4,2030.76,927434.0,68026060800.0,0,0,1167926400.0,927434.0
2007-01-08,000300,2072.0,2131.56,2131.74,2071.72,847679.0,66303934464.0,0,0,1168185600.0,847679.0
2007-01-09,000300,2137.49,2200.09,2201.36,2128.06,815776.0,65456193536.0,0,0,1168272000.0,815776.0
2007-01-10,000300,2210.76,2255.97,2255.97,2194.77,849049.0,68822622208.0,0,0,1168358400.0,849049.0
2007-01-11,000300,2257.01,2231.63,2289.95,2224.37,862765.0,68730011648.0,0,0,1168444800.0,862765.0
2007-01-12,000300,2215.86,2173.75,2249.54,2159.77,765257.0,61742829568.0,0,0,1168531200.0,765257.0
2007-01-15,000300,2170.94,2287.34,2287.68,2170.94,664030.0,57043451904.0,0,0,1168790400.0,664030.0
2007-01-16,000300,2310.96,2353.87,2354.43,2297.24,763642.0,67843432448.0,0,0,1168876800.0,763642.0
2007-01-17,000300,2360.41,2308.93,2393.22,2266.34,890155.0,80008904704.0,0,0,1168963200.0,890155.0
2007-01-18,000300,2292.17,2317.09,2325.53,2240.21,786486.0,69894971392.0,0,0,1169049600.0,786486.0
2007-01-19,000300,2320.87,2396.09,2396.09,2320.87,833340.0,73538871296.0,0,0,1169136000.0,833340.0
2007-01-22,000300,2424.81,2491.31,2491.71,2424.81,938929.0,81870487552.0,0,0,1169395200.0,938929.0
2007-01-23,000300,2508.26,2508.13,2516.59,2415.11,1023376.0,92812869632.0,0,0,1169481600.0,1023376.0
2007-01-24,000300,2508.52,2536.43,2556.1,2489.93,844336.0,80277495808.0,0,0,1169568000.0,844336.0
2007-01-25,000300,2512.46,2452.83,2529.43,2449.05,810551.0,77241720832.0,0,0,1169654400.0,810551.0
2007-01-26,000300,2415.75,2512.92,2524.24,2356.98,786540.0,73275678720.0,0,0,1169740800.0,786540.0
2007-01-29,000300,2529.94,2576.92,2582.41,2521.5,854520.0,79544860672.0,0,0,1170000000.0,854520.0
