date,code,open,close,high,low,vol,amount,date_stamp,volume
2013-01-16,510330,2.583,2.574,2.595,2.524,1079152.0,277700160.0,1358265600.0,1079152.0
2013-01-17,510330,2.562,2.549,2.57,2.535,596616.0,152291648.0,1358352000.0,596616.0
2013-01-18,510330,2.553,2.591,2.6,2.548,350154.0,90234944.0,1358438400.0,350154.0
2013-01-21,510330,2.591,2.598,2.602,2.572,289254.0,75027808.0,1358697600.0,289254.0
2013-01-22,510330,2.59,2.59,2.611,2.574,297577.0,77283864.0,1358784000.0,297577.0
2013-01-23,510330,2.59,2.6,2.602,2.573,98723.0,25579486.0,1358870400.0,98723.0
2013-01-24,510330,2.6,2.588,2.66,2.56,201279.0,52577828.0,1358956800.0,201279.0
2013-01-25,510330,2.587,2.57,2.587,2.564,245408.0,63103072.0,1359043200.0,245408.0
2013-01-28,510330,2.572,2.642,2.644,2.572,295771.0,77536040.0,1359302400.0,295771.0
2013-01-29,510330,2.64,2.666,2.676,2.639,321704.0,85443176.0,1359388800.0,321704.0
2013-01-30,510330,2.672,2.689,2.69,2.662,168864.0,45202672.0,1359475200.0,168864.0
2013-01-31,510330,2.689,2.684,2.699,2.673,86836.0,23313634.0,1359561600.0,86836.0
2013-02-01,510330,2.684,2.739,2.739,2.671,77528.0,20889902.0,1359648000.0,77528.0
2013-02-04,510330,2.74,2.744,2.792,2.73,122078.0,33554476.0,1359907200.0,122078.0
2013-02-05,510330,2.74,2.769,2.783,2.73,93184.0,25702856.0,1359993600.0,93184.0
2013-02-06,510330,2.769,2.777,2.785,2.764,252197.0,69956384.0,1360080000.0,252197.0
2013-02-07,510330,2.777,2.766,2.779,2.73,128051.0,35262620.0,1360166400.0,128051.0
2013-02-08,510330,2.764,2.776,2.788,2.754,117168.0,32484368.0,1360252800.0,117168.0
2013-02-18,510330,2.776,2.743,2.787,2.733,159367.0,43943592.0,1361116800.0,159367.0
2013-02-19,510330,2.73,2.69,2.742,2.681,103936.0,28126854.0,1361203200.0,103936.0
2013-02-20,510330,2.69,2.703,2.703,2.67,28200.0,7572469.5,1361289600.0,28200.0
2013-02-21,510330,2.675,2.609,2.675,2.586,76025.0,19886926.0,1361376000.0,76025.0
2013-02-22,510330,2.611,2.601,2.617,2.593,41247.0,10757536.0,1361462400.0,41247.0
2013-02-25,510330,2.601,2.608,2.632,2.588,107194.0,27893324.0,1361721600.0,107194.0
2013-02-26,510330,2.599,2.562,2.628,2.559,104702.0,27188822.0,1361808000.0,104702.0
2013-02-27,510330,2.562,2.585,2.612,2.562,103304.0,26722192.0,1361894400.0,103304.0
2013-02-28,510330,2.6,2.669,2.672,2.592,161671.0,42837072.0,1361980800.0,161671.0
2013-03-01,510330,2.667,2.67,2.681,2.611,111056.0,29564808.0,1362067200.0,111056.0
2013-03-04,510330,2.62,2.549,2.67,2.539,219533.0,56591140.0,1362326400.0,219533.0
2013-03-05,510330,2.563,2.619,2.623,2.546,118349.0,30611218.0,1362412800.0,118349.0
2013-03-06,510330,2.627,2.649,2.66,2.621,155469.0,41094780.0,1362499200.0,155469.0
2013-03-07,510330,2.63,2.62,2.659,2.591,84211.0,22109730.0,1362585600.0,84211.0
2013-03-08,510330,2.624,2.609,2.631,2.605,38922.0,10179575.0,1362672000.0,38922.0
2013-03-11,510330,2.6,2.591,2.613,2.575,34208.0,8849807.0,1362931200.0,34208.0
2013-03-12,510330,2.591,2.553,2.615,2.528,64650.0,16613319.0,1363017600.0,64650.0
2013-03-13,510330,2.549,2.527,2.556,2.512,69417.0,17589522.0,1363104000.0,69417.0
2013-03-14,510330,2.527,2.531,2.545,2.51,177274.0,44822340.0,1363190400.0,177274.0
2013-03-15,510330,2.522,2.54,2.6,2.506,148265.0,38054740.0,1363276800.0,148265.0
2013-03-18,510330,2.54,2.506,2.549,2.503,64759.0,16332014.0,1363536000.0,64759.0
2013-03-19,510330,2.515,2.525,2.528,2.494,105631.0,26530890.0,1363622400.0,105631.0
2013-03-20,510330,2.53,2.605,2.605,2.526,425302.0,109834248.0,1363708800.0,425302.0
2013-03-21,510330,2.605,2.609,2.622,2.6,111842.0,29230142.0,1363795200.0,111842.0
2013-03-22,510330,2.62,2.617,2.624,2.602,70368.0,18404416.0,1363881600.0,70368.0
2013-03-25,510330,2.64,2.611,2.64,2.604,82650.0,21637830.0,1364140800.0,82650.0
2013-03-26,510330,2.608,2.571,2.608,2.55,72032.0,18565710.0,1364227200.0,72032.0
2013-03-27,510330,2.571,2.581,2.609,2.559,101907.0,26439612.0,1364313600.0,101907.0
2013-03-28,510330,2.544,2.498,2.563,2.498,147478.0,36996520.0,1364400000.0,147478.0
2013-03-29,510330,2.521,2.494,2.521,2.481,108811.0,27175748.0,1364486400.0,108811.0
2013-04-01,510330,2.48,2.491,2.506,2.48,96195.0,23969936.0,1364745600.0,96195.0
2013-04-02,510330,2.5,2.488,2.524,2.475,112856.0,28076144.0,1364832000.0,112856.0
2013-04-03,510330,2.514,2.485,2.514,2.476,194785.0,48508044.0,1364918400.0,194785.0
2013-04-08,510330,2.455,2.469,2.474,2.38,100934.0,24770916.0,1365350400.0,100934.0
2013-04-09,510330,2.488,2.487,2.506,2.477,136155.0,33891992.0,1365436800.0,136155.0
2013-04-10,510330,2.49,2.486,2.499,2.468,31727.0,7872822.0,1365523200.0,31727.0
2013-04-11,510330,2.504,2.475,2.508,2.474,92636.0,23014990.0,1365609600.0,92636.0
2013-04-12,510330,2.46,2.465,2.49,2.46,160802.0,39840252.0,1365696000.0,160802.0
2013-04-15,510330,2.466,2.439,2.466,2.433,283939.0,69577088.0,1365955200.0,283939.0
2013-04-16,510330,2.44,2.455,2.456,2.42,206045.0,50142388.0,1366041600.0,206045.0
2013-04-17,510330,2.454,2.457,2.463,2.435,163745.0,40134052.0,1366128000.0,163745.0
2013-04-18,510330,2.432,2.464,2.477,2.432,155052.0,38119028.0,1366214400.0,155052.0
2013-04-19,510330,2.468,2.532,2.543,2.468,200124.0,50182112.0,1366300800.0,200124.0
2013-04-22,510330,2.539,2.53,2.539,2.519,92744.0,23441288.0,1366560000.0,92744.0
2013-04-23,510330,2.53,2.453,2.53,2.448,251269.0,62145600.0,1366646400.0,251269.0
2013-04-24,510330,2.453,2.492,2.51,2.448,345272.0,85538328.0,1366732800.0,345272.0
2013-04-25,510330,2.45,2.467,2.504,2.45,316053.0,78307584.0,1366819200.0,316053.0
2013-04-26,510330,2.468,2.446,2.483,2.44,241829.0,59624156.0,1366905600.0,241829.0
2013-05-02,510330,2.44,2.448,2.454,2.4,92063.0,22434662.0,1367424000.0,92063.0
