ticker,volume,open,close,high,low,window_start,transactions
A,1795429.855855,140.290000,139.800000,140.370000,137.130000,1785729600000000000,30358
AA,3603779.111441,43.990000,44.840000,44.930000,43.815000,1785729600000000000,49629
AAA,5411.512209,24.955000,24.965000,25.000000,24.890000,1785729600000000000,182
AAAA,5345.550071,30.200000,30.320900,30.340000,30.200000,1785729600000000000,71
AAAC,12.049853,20.045000,20.045000,20.045000,20.045000,1785729600000000000,13
AAAD,3253.074900,49.430000,49.425000,49.440000,49.425000,1785729600000000000,23
AAAP,12.000000,25.285000,25.285000,25.285000,25.285000,1785729600000000000,13
AAAU,742657.220172,39.760000,39.950000,39.980000,39.620000,1785729600000000000,5394
AACB,43080.000000,10.580000,10.540000,10.580000,10.540000,1785729600000000000,59
AACBR,2040.000000,0.157288,0.157288,0.157288,0.157288,1785729600000000000,5
AACG,2523.856976,0.860000,0.900000,0.900000,0.850000,1785729600000000000,101
AACI,50144.000000,9.990000,9.990000,9.990000,9.990000,1785729600000000000,42
AACIW,100.000000,0.360000,0.360000,0.360000,0.360000,1785729600000000000,1
AACOU,497.000000,10.050000,10.050000,10.050000,10.050000,1785729600000000000,5
AACOW,204.000000,0.420000,0.415200,0.420000,0.415200,1785729600000000000,4
AADR,3921.029902,82.728800,82.855000,83.069900,82.330000,1785729600000000000,50
AADX,908818.427938,18.620000,19.220000,19.685000,18.320000,1785729600000000000,10044
AAEQ,1888.304000,53.990000,54.075300,54.075300,53.990000,1785729600000000000,22
AAL,53623496.581892,15.770000,16.040000,16.380000,15.700000,1785729600000000000,132753
AALG,31884.682800,15.360900,15.550000,16.130000,15.280000,1785729600000000000,236
AAME,29878.040541,1.540000,1.570000,1.650000,1.500000,1785729600000000000,315
AAMI,581515.105350,86.760000,89.780000,90.120000,86.500000,1785729600000000000,13198
AAOG,3344827.759857,2.070000,3.090000,3.120000,2.020000,1785729600000000000,6583
AAOI,12055507.840986,89.800000,110.210000,110.950000,88.130000,1785729600000000000,178162
AAON,931550.872093,90.260000,92.560000,93.255000,88.450000,1785729600000000000,20445
AAOX,10669762.398119,9.470000,13.860000,14.070000,9.020100,1785729600000000000,43317
AAOZ,548301.537712,32.410000,19.480000,33.505000,19.460000,1785729600000000000,5358
AAP,1030063.465902,56.250000,55.680000,57.420000,54.959800,1785729600000000000,20192
AAPB,212679.046243,38.055000,36.493400,38.630000,36.390000,1785729600000000000,2107
AAPD,13121506.885314,11.230000,11.460000,11.490000,11.154000,1785729600000000000,20679
AAPE,35701.554733,14.470000,13.804100,14.470000,13.804100,1785729600000000000,273
AAPG,14157.178106,17.550000,16.805000,17.550000,16.750000,1785729600000000000,481
AAPL,75051951.660291,309.580000,303.420000,311.800000,302.560000,1785729600000000000,1388685
AAPR,14246.033000,29.590000,29.635000,29.635000,29.590000,1785729600000000000,76
AAPU,4453871.295057,39.050000,37.600000,39.680000,37.410100,1785729600000000000,36909
AAPW,31486.309671,39.260000,38.064900,39.260000,38.064900,1785729600000000000,683
AAPX,76637.704074,35.810000,33.888500,35.810000,33.810000,1785729600000000000,930
AAPY,3934.112923,25.770000,25.305400,25.770000,25.291500,1785729600000000000,159
AARD,96240.877950,6.650000,7.080000,7.260000,6.640000,1785729600000000000,3165
AAT,367337.484968,23.740000,23.870000,23.985000,23.610000,1785729600000000000,8338
AAUA,256.627000,57.883300,57.883300,57.883300,57.883300,1785729600000000000,23
AAUB,29645.904400,49.700000,50.317500,50.350000,49.700000,1785729600000000000,53
AAUC,799035.412928,18.150000,19.100000,19.370000,18.060000,1785729600000000000,11231
AAUS,4285.135030,60.150000,60.740900,60.780000,60.150000,1785729600000000000,33
AAVM,2490.503300,33.410000,33.631800,33.631800,33.302000,1785729600000000000,31
AAXJ,371689.912892,110.290000,111.320000,111.500000,109.520000,1785729600000000000,4492
AB,266023.234076,36.200000,36.990000,37.030000,36.200000,1785729600000000000,3246
ABAT,3539318.859924,2.070000,2.140000,2.196600,2.030000,1785729600000000000,18155
ABBV,7435935.195337,251.450000,245.100000,256.200000,244.440000,1785729600000000000,106619
ABCB,313541.118613,87.010000,88.190000,88.730000,86.460000,1785729600000000000,9374
ABCL,3405575.769443,5.705000,5.830000,6.045000,5.565000,1785729600000000000,28896
ABCS,1553.000000,35.720000,35.657500,35.720000,35.590000,1785729600000000000,16
ABEO,1008655.066034,6.450000,6.390000,6.490000,6.295000,1785729600000000000,12446
ABEQ,17586.797400,38.340000,38.320000,38.340000,37.980000,1785729600000000000,91
ABEV,40802258.287920,3.120000,3.050000,3.130000,3.040000,1785729600000000000,71231
ABFL,5986.025590,81.273700,81.992400,82.100000,81.273700,1785729600000000000,79
ABG,340292.517027,234.430000,227.970000,237.570000,227.690000,1785729600000000000,11425
ABI,21.983775,24.845000,24.845000,24.845000,24.845000,1785729600000000000,18
ABIG,17.590000,35.880900,35.880900,35.880900,35.880900,1785729600000000000,19
ABLD,8022.837429,31.188200,31.175000,31.200000,31.010000,1785729600000000000,53
ABLG,7625.859653,30.640600,30.802800,30.802800,30.430000,1785729600000000000,60
ABLS,854.254500,22.960000,23.175200,23.175200,22.960000,1785729600000000000,24
ABLV,31519.689523,0.857000,0.770000,0.870000,0.770000,1785729600000000000,148
ABLVW,639.000000,0.019500,0.019500,0.019500,0.019500,1785729600000000000,8
ABM,391308.516144,48.540000,48.740000,49.230000,48.410000,1785729600000000000,10286
ABNB,3597522.289512,153.340000,150.640000,154.560000,150.020000,1785729600000000000,53589
ABOS,227453.666412,2.170000,2.180000,2.210000,2.110000,1785729600000000000,2978
ABOT,15.435500,41.052700,41.052700,41.052700,41.052700,1785729600000000000,16
ABR,7514231.687128,5.050000,5.160000,5.260000,4.965000,1785729600000000000,38716
ABRpD,6348.539600,15.916100,15.900000,15.940000,15.850100,1785729600000000000,89
ABRpE,4414.817100,15.750000,15.775000,15.800000,15.750000,1785729600000000000,45
ABRpF,2673.599600,22.553000,22.420000,22.553000,22.340000,1785729600000000000,72
ABSI,2220299.721702,7.700000,7.930000,8.065000,7.430000,1785729600000000000,24888
ABT,7409567.491773,107.850000,107.120000,109.330000,106.430000,1785729600000000000,88705
ABTC,1846830.157138,5.310000,5.850000,5.950000,4.920000,1785729600000000000,20325
ABTS,4204380.875111,1.100000,1.030700,1.100000,1.030000,1785729600000000000,25104
ABUF,8.036000,27.390200,27.390200,27.390200,27.390200,1785729600000000000,8
ABUS,1421329.459705,4.340000,4.360000,4.425000,4.310000,1785729600000000000,11176
ABVC,68107.262756,1.040000,1.040000,1.060000,1.000000,1785729600000000000,370
ABVX,941540.070258,120.400000,124.780000,126.000000,119.530000,1785729600000000000,17620
